distrito_tabnet;obitos00a04;obitos05a09;obitos10a14;obitos15a19;obitos20a24;obitos25a29;obitos30a34;obitos35a39;obitos40a44;obitos45a49;obitos50a54;obitos55a59;obitos60a64;obitos65a69;obitos70a74;obitos75m;obitos_total
Água Rasa;0;0;0;0;1;1;2;1;6;3;7;18;13;18;17;54;141
Alto de Pinheiros;0;0;0;0;0;0;0;1;0;0;1;2;2;3;5;25;39
Anhanguera;0;0;0;0;0;1;1;1;0;3;7;10;9;7;4;8;51
Aricanduva;0;0;0;1;0;0;1;3;3;3;16;16;16;22;22;69;172
Artur Alvim;0;0;0;0;0;0;1;4;6;5;7;15;16;35;25;49;163
Barra Funda;0;0;0;0;0;0;0;0;0;0;0;1;1;3;5;9;19
Bela Vista;0;0;0;0;0;0;0;2;1;5;0;4;15;10;7;40;84
Belém;0;0;0;0;0;1;1;1;2;8;5;6;9;5;13;21;72
Bom Retiro;0;0;0;0;0;1;0;0;0;0;3;1;1;7;5;20;38
Brás;0;0;0;0;0;0;0;1;2;2;0;1;5;3;2;5;21
Brasilândia;0;0;0;0;0;2;6;10;13;14;27;33;33;38;36;75;287
Butantã;0;0;0;0;0;0;0;0;0;0;5;1;3;7;7;38;61
Cachoeirinha;0;0;0;0;0;1;2;5;6;9;20;15;18;31;21;63;191
Cambuci;0;0;0;0;0;0;0;1;0;2;2;0;6;4;6;17;38
Campo Belo;0;0;0;0;0;0;1;0;1;3;1;5;7;8;8;38;72
Campo Grande;0;0;0;0;1;0;0;2;3;4;3;11;9;16;13;51;113
Campo Limpo;0;0;1;0;0;1;0;10;5;9;11;18;16;13;31;59;174
Cangaíba;0;0;0;0;0;0;3;4;5;7;18;13;21;33;22;63;189
Capão Redondo;0;0;0;0;1;5;3;5;8;11;16;18;35;36;29;66;233
Carrão;0;0;0;0;0;1;2;2;1;6;9;8;13;9;13;62;126
Casa Verde;0;0;0;0;0;0;2;3;6;5;6;12;8;17;14;44;117
Cidade Ademar;0;0;0;0;0;1;4;9;11;10;13;32;29;35;47;102;293
Cidade Dutra;0;0;1;0;0;0;2;8;5;10;14;11;28;18;28;65;190
Cidade Líder;1;0;0;0;3;0;4;5;2;12;12;15;21;23;30;45;173
Cidade Tiradentes;1;0;0;1;2;3;5;5;16;13;14;24;27;45;36;60;252
Consolação;0;0;0;0;1;0;0;2;0;1;3;2;7;4;4;24;48
Cursino;0;0;0;0;0;0;0;1;6;2;1;7;13;13;19;50;112
Ermelino Matarazzo;0;0;0;0;1;1;1;0;8;8;5;10;12;15;14;23;98
Freguesia do Ó;0;0;0;0;0;2;1;8;4;16;19;19;27;28;36;74;234
Grajaú;1;0;0;0;0;2;7;11;18;17;22;28;40;38;39;91;314
Guaianases;0;0;0;0;0;2;3;8;5;12;7;5;12;18;14;25;111
Iguatemi;0;0;0;0;4;0;3;4;4;11;12;19;27;31;23;33;171
Ipiranga;0;0;0;0;0;0;2;0;1;2;5;6;11;21;17;66;131
Itaim Bibi;0;0;0;0;0;0;1;0;0;0;1;0;6;9;10;52;79
Itaim Paulista;0;0;1;1;2;3;2;3;7;13;13;19;34;37;30;64;229
Itaquera;0;0;0;0;0;2;5;4;12;19;17;22;40;49;50;84;304
Jabaquara;0;0;0;0;0;0;1;2;3;5;15;22;21;29;21;91;210
Jaçanã;0;0;1;0;0;1;1;1;3;7;6;6;7;22;22;41;118
Jaguara;0;0;0;0;0;0;1;2;3;0;2;2;1;3;4;12;30
Jaguaré;0;0;0;0;0;0;0;0;1;0;2;3;2;2;5;8;23
Jaraguá;0;0;0;0;2;0;4;4;8;11;12;12;28;31;22;54;188
Jardim Ângela;0;0;1;0;0;0;4;6;12;8;18;19;14;29;24;42;177
Jardim Helena;0;0;0;0;0;1;1;2;3;9;14;19;20;10;22;43;144
Jardim Paulista;0;0;0;0;0;0;1;0;0;0;1;1;4;4;5;56;72
Jardim São Luís;1;0;0;0;0;0;1;5;9;11;15;29;24;26;28;70;219
José Bonifácio;0;0;0;0;1;2;3;4;4;10;13;8;22;18;21;34;140
Lajeado;0;0;0;1;0;7;3;10;10;8;15;16;21;20;21;41;173
Lapa;0;0;0;0;0;0;0;0;2;2;2;0;7;8;18;43;82
Liberdade;0;0;0;0;0;0;0;0;0;4;0;1;5;15;13;25;63
Limão;0;0;0;1;0;1;1;4;4;5;6;12;13;13;16;48;124
Mandaqui;0;0;0;0;0;0;1;5;2;8;9;13;12;21;29;66;166
Marsilac;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moema;0;0;0;0;0;0;0;0;0;3;0;4;5;4;5;34;55
Mooca;0;0;0;0;1;0;0;2;2;6;9;17;13;21;11;64;146
Morumbi;0;0;0;0;0;1;1;0;2;0;2;0;3;4;5;21;39
Parelheiros;0;0;0;0;1;1;6;2;5;9;7;10;21;22;19;29;132
Pari;0;0;0;0;0;0;0;1;2;0;0;0;1;3;3;8;18
Parque do Carmo;0;0;0;0;0;0;0;0;3;3;6;7;10;10;13;29;81
Pedreira;0;0;0;0;0;0;2;3;4;7;4;10;11;15;8;23;87
Penha;0;1;0;1;0;1;1;2;8;6;9;17;18;23;26;77;191
Perdizes;0;0;0;0;0;0;0;0;1;0;0;4;10;7;18;43;83
Perus;0;0;0;0;0;0;1;2;0;5;7;11;15;12;8;13;74
Pinheiros;0;0;0;0;0;1;1;0;3;1;1;2;1;3;2;43;58
Pirituba;0;0;0;2;0;0;3;5;8;9;16;18;28;28;27;65;209
Ponte Rasa;0;0;0;0;0;1;4;3;8;6;11;8;29;19;19;59;167
Raposo Tavares;0;0;0;0;1;1;3;2;5;1;6;9;13;9;18;27;95
República;0;0;0;0;0;0;1;1;0;1;5;4;12;9;7;20;60
Rio Pequeno;0;0;0;0;0;0;0;0;2;2;6;6;7;11;14;32;80
Sacomã;1;0;0;0;0;2;1;9;5;6;15;23;20;25;26;73;206
Santa Cecília;0;0;0;0;1;0;3;2;0;0;3;10;6;14;13;38;90
Santana;0;0;0;0;0;1;1;1;1;3;10;15;14;22;23;95;186
Santo Amaro;0;0;0;0;0;0;0;0;2;1;1;6;4;5;6;48;73
São Domingos;0;0;0;0;0;1;1;4;5;1;8;5;12;8;14;29;88
São Lucas;0;0;0;0;0;1;3;4;4;13;9;19;19;21;25;82;200
São Mateus;0;0;0;0;0;2;4;2;7;7;14;20;27;20;32;58;193
São Miguel;0;0;0;0;0;0;0;4;7;4;4;14;15;18;22;59;147
São Rafael;0;0;0;0;0;1;1;2;7;10;6;10;20;12;14;24;107
Sapopemba;0;0;0;1;2;0;4;11;7;24;25;39;39;51;51;117;371
Saúde;0;0;0;0;0;0;0;1;2;1;2;6;14;17;19;61;123
Sé;0;0;0;0;0;0;0;0;1;2;0;1;3;1;1;5;14
Socorro;0;0;0;0;0;0;1;4;0;2;3;0;4;11;4;26;55
Tatuapé;0;0;0;0;0;0;1;1;2;5;6;10;9;22;21;58;135
Tremembé;1;0;0;0;2;4;2;2;11;6;17;33;26;29;34;78;245
Tucuruvi;0;0;0;0;1;1;0;2;4;5;7;13;21;32;18;50;155
Vila Andrade;0;0;0;0;0;1;0;3;2;7;2;5;6;10;7;29;72
Vila Curuçá;0;0;1;0;0;0;3;5;2;12;11;19;20;17;22;47;159
Vila Formosa;0;0;0;0;0;0;3;1;3;9;9;18;20;22;25;71;181
Vila Guilherme;0;0;0;0;0;1;0;1;3;4;3;9;5;11;12;39;88
Vila Jacuí;1;0;0;1;2;0;4;8;11;7;13;17;13;21;26;54;178
Vila Leopoldina;0;0;0;0;0;0;0;0;0;0;1;2;2;5;6;15;31
Vila Maria;0;0;0;0;1;1;1;6;2;3;11;9;20;23;14;44;135
Vila Mariana;0;0;0;0;0;1;1;0;3;1;4;2;7;16;15;89;139
Vila Matilde;0;0;0;0;0;0;2;4;1;6;5;11;17;22;17;64;149
Vila Medeiros;0;0;0;1;2;2;2;4;3;8;7;14;18;24;35;63;183
Vila Prudente;0;0;0;0;0;0;1;2;2;4;8;15;11;17;26;59;145
Vila Sônia;0;0;0;0;0;1;0;2;2;2;6;8;9;14;9;38;91
